Version: 1.2.0	Version: 1.2.0 한글패치 : 레트로겜보이
Uncensored	무검열판
Full Voice	풀 보이스
Boops	가슴
Full Screen	풀 스크린
Windowed	창 모드
High	고
Medium	중
Low	저
Save Data #1	세이브 데이터 #1
Monday 01	월요일 01
Morning	아침
Shopping Mall	쇼핑 몰
Audrey	오드리
1,000	1,000
0	0
0%	0%
Save Data #2	세이브 데이터 #2
Save Data #3	세이브 데이터 #3
Save Data #4	세이브 데이터 #4
Ask on Date	데이트 신청
Girl Finder	걸 찾기
View Inventory	인벤토리 보기
Check Profile	프로필 확인
Purchase Gifts	선물 구매하기
Talk With Her	그녀와 대화하기
Aaaaaaaaaahhhhh...	아아아아아아악...
Good morning Aiko!	좋은 아침이야, 아이코!
Oh,····· hey Beli.	어,····· 안녕 벨리.
What's wrong?···················· Seem's like something's bothering you.	왜 그래?···················· 뭔가 신경 쓰이는 일 있어 보여.
Yeah,····· life.	그래,····· 인생이지.
*hahaha*··········How are classes going?	*하하하하*··········수업은 잘 되고 있어?
Ugghhhhh,····· I don't want to talk about that.	으으으으으,····· 그 얘기는 하고 싶지 않아.
Mmmm,····· well,····· I think I have just the thing!	음~~~ 글쎄, 딱 맞는 게 하나 생각나!
I'm headed to the beach to work on a few poses.········ You should join me.	나 해변 가서 포즈 좀 연습하려고 해.········ 너도 같이 올래?
Nothing like a little exercise to melt that stress away.	가벼운 운동만큼 스트레스를 확 날려주는 것도 없지.
Ehhhhh,····· not today.············ I'm just not feelin' it.	에에에에,····· 오늘은 아니야.············ 그냥 별로 기분이 안 나네.
Will I at least be seeing you this weekend at the studio?	적어도 이번 주말엔 스튜디오에서 볼 수 있는 거야?
I'll be there.·········· I don't think I have anything else going on, for once.	나 갈게.·········· 오랜만에 딱히 다른 약속도 없네.
Great!····· Can't wait!·········· See you there.	좋아!····· 빨리 보고 싶다!·········· 거기서 봐.
Dude...······· bro...········· Asian chicks...·········· don't even get me started.	야...······· 브로...········· 아시아 여자들 말이야...·········· 진짜 말도 마.
Asian chicks...·········· don't even get me started.	아시아 여자들은 말이야·········· 진짜 할 말 많지.
I··· have like the worst case of yellow fever··· ever...····· EV··ER.····· Like··· a yellow··· plague.	나··· 진짜 황인병이 너무 심하게 걸렸어··· 완전··· 심각하게.······ 거의··· 노란··· 역병 수준이야.
This is a tough approach.····· She's kinda in a shitty mood, so··· say something stupid to try and cheer her up.	이건 좀 빡센 방법이네······ 지금 기분이 완전 구려서··· 뭔가 바보 같은 말이라도 해서 기분 좀 풀어주라.
It doesn't matter what.····· The stupider the better.	뭔지 상관없어.····· 바보 같을수록 더 좋아.
Isn't it funny how life is pointless and nothing matters?	인생이 아무 의미도 없고, 다 소용없다는 거 웃기지 않아?
*hahahahahahahaha*··········I ask myself the same thing··· all the time.	*하하하하하하하하하*··········나도 맨날 똑같이 생각해···
Hey can you teach me karate?	나한테 가라데 좀 가르쳐줄 수 있어?
*hahahahahahaha*·····Oh my god!····· Could you please be more racist?	*푸하하하하하하하*·····세상에!····· 더 인종차별적으로 해줄래?
Fuck these birds. Am I right?	이 새들 진짜 짜증나지, 안 그래?
*haha*··*hahahaha*·····Nooo,····· I like the birds.	*하하*··*하하하하*·····안 돼에에,····· 난 새들이 좋아.
I'm only kidding. I just thought you were cute and wanted to meet you.	장난이야. 그냥 네가 귀여워 보여서 한번 얘기해보고 싶었어.
Noooooo...········ I look like a mess right now.····· I'm sure my hair is a disaster.	아아아아아...········ 지금 완전 엉망진창이야.····· 분명 머리도 폭탄 맞았을 걸.
Haha, but, for real, what's up? You look a little bummed out over here.	하하, 근데 진짜로, 무슨 일이야? 여기서 좀 시무룩해 보여.
Oh,····· no,····· I'm good.	아,····· 아니야,····· 나 괜찮아.
Nah, I just like to bother people who look like they want to be left alone.	아니, 그냥 혼자 있고 싶어 보이는 사람 괴롭히는 게 재미있잖아.
Well,····· mission accomplished.········ Good work!	음······ 임무 완수했다.········ 수고했어!
I'm just trying to relax;·········· enjoy a little down time between classes.	그냥 좀 쉬려고 해·········· 수업 사이에 잠깐 여유 좀 즐기는 거지.
I teach up at U.O.G.*uuu ooo ggg*····· You know the place?··········· It's like the only university in the city for some reason.	나 U.O.G에서 강의해. *유 오우 지~~*······ 그곳 알아?············ 왠지는 모르겠는데 여기가 시내에 유일한 대학이더라.
Oh, so you've got that sexy teacher angle going then?	오, 그러니까 너 그 섹시한 선생님 컨셉으로 나오는 거야?
I don't know about that.·········· I have a couple students who would probably agree with you though. *hahahahahahaha*·····	글쎄다·········· 근데 네 말에 동의할 학생들이 몇 명 있긴 하지. *하하하하하하하*·····
A teacher? You must be like really smart.	선생님이야? 진짜 똑똑한가 보네.
Sure;········ yes.·········· Let's go with that. *hahahahaha*·····*hahahahahahahahaha*··*aaaacc*	그래········ 그래.·········· 그걸로 하자. *하하하하하하*·····*하하하하하하하하하하하*··*아아아아악*
Oh yeah? What do you teach?	그래? 뭘 가르치는데?
Well,········ I'm supposed to be a physics professor,····· let's just leave it at that. *hahahahahahaha*·····*aaaacc*	음········ 나 원래 물리학 교수거든,····· 그냥 그 정도로만 해두자고. *하하하하하하하*·····*으하악*
I'm glad you came over here.····· I needed a good laugh.	여기 와줘서 고마워.····· 진짜 웃음이 필요했거든.
The kids call me Ms. Yumi,········ but,····· you····· can call me Aiko.	애들은 나를 유미 선생님이라고 부르는데········ 너는····· 그냥 아이코라고 불러도 돼.
Ughh!····· What the fuck!····· Of course you screwed it up, again!	으으흥!······ 씨발 뭐야!······ 역시 또 망쳤네, 또!
That's exactly what you asked for!····· Are you joking!?	딱 네가 시킨 대로 했잖아!····· 장난하는 거야!?
Bitch,····· do I look like I'm joking!?····· How am I supposed to walk around like this?	야,····· 내가 장난치는 걸로 보여!?····· 나 이 꼴로 어떻게 돌아다니라고?
You're·· fuckin'·· loco*co*.·· This is how I always cut your nasty ass hair!	너·· 존나·· 미쳤지*찌*.·· 내가 맨날 네 지저분한 머리 이렇게 잘라주잖아!
Nasty···· ass······· hair?·········· Eww,·········· don't··· even!·········· Look who's talking,····· skank!	지저분한····· 엉덩이·······털?········ 으악,·········· 됐거든!·········· 너나 잘해,····· 이 싸가지야!
No····· bitch,····· my hair isn't dried out and reeking of smoke, okay?	아니······__TOK0__,······ 내 머리카락 안 푸석푸석하고 담배 냄새도 안 나, 알았지?
Whatever··· ho,····· why don't you go get knocked up again.	알았어··· 야,····· 또 임신이나 해봐라.
You need to turn around and walk away.	뒤돌아서 그냥 가.
What's wrong!?····· Did I hurt your whore feelings?	왜 그래!?····· 내가 네 걸레 감정이라도 상하게 했냐?
Turn around,····· and walk away.	돌아서····· 그냥 가버려.
Gla*aaaa*dly.·········· At least I won't have to look at your whore face anymore.	기꺼이.·········· 이제 네 저질 얼굴 안 봐도 되잖아.
Fuckin' whore ass bitch needs to learn...	돌아버린 창녀 같은 년은 좀 배워야겠어...
Ooh,··· she's a little feisty one,··· huh?	오,··· 얘 좀 앙칼지네,··· 그치?
*aacc*This····· is what we refer to·· as····· a mega bitch.····· Confidence is key here.	*aacc*이게······ 우리가 말하는······ 메가 쌔빠예요.······ 여기선 자신감이 필수야.
She has to know you're in charge and her bullshit isn't going to faze you.	네가 주도권을 쥐고 있다는 걸 그녀가 알아야 해. 그녀의 헛소리에 흔들릴 필요 없어.
So whatever you do,····· just,····· stay cool.	그러니까 뭐 하든지······ 그냥,······ 침착하게 있어.
Uhh,····· could you move please?····· You're kind of in my way.	저기,····· 좀 비켜줄 수 있어?····· 네가 좀 길 막고 있거든.
...and let you walk out of my life forever?	...그리고 널 영영 떠나보내라고?
Ok,····· whatever...····· that was so lame.	알겠어,····· 뭐든지...····· 진짜 별로였네.
Sorry, I wasn't paying attention. I got lost in your eyes.	미안, 방금 정신이 딴 데 갔었어. 네 눈에 홀려버렸거든.
*hahahahaha*···Oh my god,····· seriously?	*푸하하하하하*···헐,····· 진짜야?
In a minute. I'm not finished checking you out.	잠깐만. 너 좀 더 제대로 감상하고 싶어.
Uhhh,····· eww?	으으으... 으엑?
What are you even doing at the mall anyway?····· Besides creeping on girls.	너 여기 쇼핑몰에서 대체 뭐 하는 거야?······ 여자들 몰래 훔쳐보는 거 말고.
I need to pick up some condoms for our date tonight.	오늘 데이트 전에 콘돔 좀 사가야겠어.
I need to pick up some lube for our date tonight.	오늘 우리 데이트를 위해 윤활제 좀 사야겠어.
*hahahahahaha*Is that sooo?·····	*푸하하하하하하* 그래~?·····
*hahahahaha*·····Is that so?	*하하하하하*·····그래?
Just the creeping thing pretty much.	그 기어다니는 것만 거의 그렇지.
*hahahahaha*·····At least you're honest.	*푸하하하하하*·····적어도 솔직하네.
